Publication Years	records	% of 156
2002	25	16.026
2016	15	9.615
2008	14	8.974
2007	12	7.692
2006	10	6.410
2009	9	5.769
2013	9	5.769
2014	8	5.128
2001	7	4.487
2011	6	3.846
2015	6	3.846
2017	6	3.846
2000	5	3.205
2010	5	3.205
2012	5	3.205
2004	4	2.564
1999	3	1.923
2003	3	1.923
2005	2	1.282
1988	1	0.641
1998	1	0.641
2018	1	0.641
